date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:41	147794/147794	---MCZ	200	added ('OK')	text/css	etag:%22b36e749df1a76c7e5bd690d8aaaf8cdf-ssl-df%22	https://digikit.netlify.app/assets/css/style.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/style.css	(from https://digikit.netlify.app/pages/home_3)
16:07:41	4853/4853	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2285947be4fb82f10290fa4d491881dca8-ssl-df%22	https://digikit.netlify.app/pages/Home_1.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_1.html	(from https://digikit.netlify.app/pages/home_3)
16:07:42	39652/39652	---MCZ	200	added ('OK')	text/html	etag:%2285947be4fb82f10290fa4d491881dca8-ssl-df%22	https://digikit.netlify.app/pages/home_1	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_1.html	(from https://digikit.netlify.app/pages/home_3)
16:07:43	4878/4878	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e352725916cb64d2fa0582c81782a8a9-ssl-df%22	https://digikit.netlify.app/pages/Home_2.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_2.html	(from https://digikit.netlify.app/pages/home_3)
16:07:44	41772/41772	---MCZ	200	added ('OK')	text/html	etag:%22e352725916cb64d2fa0582c81782a8a9-ssl-df%22	https://digikit.netlify.app/pages/home_2	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_2.html	(from https://digikit.netlify.app/pages/home_3)
16:07:44	3683/3683	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_3)
16:07:45	4340/4340	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%229ceb2355ff7fd8e82bdf154bbcbaaf8d-ssl-df%22	https://digikit.netlify.app/pages/Home_4.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_4.html	(from https://digikit.netlify.app/pages/home_3)
16:07:46	35281/35281	---MCZ	200	added ('OK')	text/html	etag:%229ceb2355ff7fd8e82bdf154bbcbaaf8d-ssl-df%22	https://digikit.netlify.app/pages/home_4	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_4.html	(from https://digikit.netlify.app/pages/home_3)
16:07:46	3138/3138	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%220065ce29bc84861a97ffd50843a7a498-ssl-df%22	https://digikit.netlify.app/pages/Home_5.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_5.html	(from https://digikit.netlify.app/pages/home_3)
16:07:47	25181/25181	---MCZ	200	added ('OK')	text/html	etag:%220065ce29bc84861a97ffd50843a7a498-ssl-df%22	https://digikit.netlify.app/pages/home_5	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_5.html	(from https://digikit.netlify.app/pages/home_3)
16:07:48	4739/4739	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e21e414b47b077b9d99e3417281f198d-ssl-df%22	https://digikit.netlify.app/pages/Home_1_grad.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_1_grad.html	(from https://digikit.netlify.app/pages/home_3)
16:07:48	39349/39349	---MCZ	200	added ('OK')	text/html	etag:%22e21e414b47b077b9d99e3417281f198d-ssl-df%22	https://digikit.netlify.app/pages/home_1_grad	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_1_grad.html	(from https://digikit.netlify.app/pages/home_3)
16:07:49	4988/4988	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2264d52e6fe32bd06d21d32fddfd57398d-ssl-df%22	https://digikit.netlify.app/pages/Home_2_grad.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_2_grad.html	(from https://digikit.netlify.app/pages/home_3)
